Target,Treatment,FC
Glyma.01G137700,R1_FC,4.221944231
Glyma.01G138800,R1_FC,-0.548486399
Glyma.01G139500,R1_FC,-0.563393818
Glyma.01G139600,R1_FC,0.272259071
Glyma.01G141900,R1_FC,0.084790504
Glyma.01G143500,R1_FC,4.76730847
Glyma.01G144500,R1_FC,-0.819976363
Glyma.01G144700,R1_FC,1.476232635
Glyma.01G144900,R1_FC,1.801509782
Glyma.01G146300,R1_FC,-1.621971706
Glyma.01G147700,R1_FC,-0.602096767
Glyma.01G147900,R1_FC,0.792001154
Glyma.01G149000,R1_FC,-0.367118209
Glyma.01G153000,R1_FC,1.838592913
Glyma.01G153300,R1_FC,2.484032723
Glyma.01G154400,R1_FC,-0.173068833
Glyma.01G154450,R1_FC,2.833210098
Glyma.01G154900,R1_FC,-0.847586217
Glyma.01G155400,R1_FC,4.832978769
Glyma.01G156500,R1_FC,0.615343758
Glyma.01G158600,R1_FC,-0.628793806
Glyma.01G161100,R1_FC,1.621628
Glyma.01G162800,R1_FC,0.458395053
Glyma.01G163000,R1_FC,0.30020857
Glyma.01G163600,R1_FC,-1.331481215
Glyma.01G164000,R1_FC,-0.465833358
Glyma.01G164300,R1_FC,0.215904837
Glyma.01G164700,R1_FC,-1.268187951
Glyma.01G165200,R1_FC,-0.906950308
Glyma.01G165400,R1_FC,-0.373203841
Glyma.01G168200,R1_FC,-0.936216169
Glyma.01G169000,R1_FC,1.319505496
Glyma.01G169100,R1_FC,0.731829892
Glyma.01G169500,R1_FC,-1.311582409
Glyma.01G170600,R1_FC,0.313406274
Glyma.01G171900,R1_FC,-1.35442167
Glyma.01G172100,R1_FC,2.027416018
Glyma.01G172600,R1_FC,3.75156722
Glyma.01G172700,R1_FC,2.650710126
Glyma.01G172900,R1_FC,0.83179656
Glyma.01G173300,R1_FC,-0.570000243
Glyma.01G173700,R1_FC,-0.509529886
Glyma.01G174102,R1_FC,3.833170381
Glyma.01G176400,R1_FC,0.537650351
Glyma.01G176600,R1_FC,0.526853554
Glyma.01G176800,R1_FC,0.417408772
Glyma.01G177700,R1_FC,0.278237629
Glyma.01G179600,R1_FC,2.750489654
Glyma.01G180100,R1_FC,0.780806977
Glyma.01G180432,R1_FC,1.197913479
Glyma.01G180800,R1_FC,-0.692022999
Glyma.01G181800,R1_FC,2.392606273
Glyma.01G182400,R1_FC,1.536147589
Glyma.01G183300,R1_FC,1.474769122
Glyma.01G185800,R1_FC,0.768016344
Glyma.01G187700,R1_FC,2.81524084
Glyma.01G187800,R1_FC,1.150384709
Glyma.01G188700,R1_FC,0.570758463
Glyma.01G189100,R1_FC,0.34498537
Glyma.01G190500,R1_FC,1.291623002
Glyma.01G190900,R1_FC,-0.519706335
Glyma.01G191300,R1_FC,3.565209946
Glyma.01G191600,R1_FC,-1.211918776
Glyma.01G193600,R1_FC,1.319900534
Glyma.01G194700,R1_FC,-0.889992453
Glyma.01G195000,R1_FC,-1.649607479
Glyma.01G195300,R1_FC,4.576933679
Glyma.01G196600,R1_FC,-0.575768247
Glyma.01G197500,R1_FC,-0.41939368
Glyma.01G197800,R1_FC,-0.497996792
Glyma.01G198300,R1_FC,1.371041614
Glyma.01G199700,R1_FC,-1.261431865
Glyma.01G201000,R1_FC,-0.570955129
Glyma.01G202000,R1_FC,2.630374295
Glyma.01G202100,R1_FC,5.52507781
Glyma.01G202200,R1_FC,3.864966396
Glyma.01G203500,R1_FC,2.041585998
Glyma.01G204400,R1_FC,0.836100348
Glyma.01G205200,R1_FC,0.243894287
Glyma.01G205400,R1_FC,-0.904296926
Glyma.01G206700,R1_FC,1.986019069
Glyma.01G210400,R1_FC,3.503332746
Glyma.01G210700,R1_FC,-0.617744159
Glyma.01G210800,R1_FC,-0.50029212
Glyma.01G211800,R1_FC,4.120588626
Glyma.01G211900,R1_FC,0.792168507
Glyma.01G212100,R1_FC,3.828313545
Glyma.01G215100,R1_FC,3.120285483
Glyma.01G215400,R1_FC,-0.368530375
Glyma.01G217200,R1_FC,1.231815606
Glyma.01G217300,R1_FC,-0.742237069
Glyma.01G217400,R1_FC,-0.558344649
Glyma.01G217600,R1_FC,6.053502263
Glyma.01G217700,R1_FC,2.582676273
Glyma.01G217900,R1_FC,0.359266665
Glyma.01G218600,R1_FC,0.06499966
Glyma.01G219400,R1_FC,1.845747466
Glyma.01G219502,R1_FC,-0.868472589
Glyma.01G220600,R1_FC,-0.65661438
Glyma.01G221200,R1_FC,1.860276004
Glyma.01G221400,R1_FC,-1.045323027
Glyma.01G221800,R1_FC,-0.987824222
Glyma.01G224800,R1_FC,2.866223834
Glyma.01G226502,R1_FC,-0.901766053
Glyma.01G226900,R1_FC,1.038336623
Glyma.01G227400,R1_FC,-0.833493764
Glyma.01G228200,R1_FC,0.204117085
Glyma.01G228600,R1_FC,4.871752434
Glyma.01G228700,R1_FC,3.266762217
Glyma.01G229200,R1_FC,-0.916026093
Glyma.01G229800,R1_FC,-1.002347064
Glyma.01G230900,R1_FC,1.515431278
Glyma.01G231900,R1_FC,-0.746830233
Glyma.01G235600,R1_FC,3.230528065
Glyma.01G236100,R1_FC,0.456719628
Glyma.01G236200,R1_FC,4.084711639
Glyma.01G236500,R1_FC,2.072126991
Glyma.01G237000,R1_FC,-1.087730026
Glyma.01G238000,R1_FC,-0.533332147
Glyma.01G238600,R1_FC,-1.172614254
Glyma.01G238800,R1_FC,3.223903613
Glyma.01G239500,R1_FC,1.310550174
Glyma.01G239600,R1_FC,3.552244634
Glyma.01G240300,R1_FC,4.08406523
Glyma.01G241500,R1_FC,-1.160844655
Glyma.01G241700,R1_FC,2.431109332
Glyma.01G242200,R1_FC,0.665747856
Glyma.01G242902,R1_FC,0.69668093
Glyma.01G244000,R1_FC,4.256487732
Glyma.01G244500,R1_FC,0.677990618
Glyma.01G245500,R1_FC,-0.300651154
Glyma.02G000400,R1_FC,0.403420458
Glyma.02G000500,R1_FC,-0.243508039
Glyma.02G000700,R1_FC,-0.2930124
Glyma.02G001000,R1_FC,-0.588759877
Glyma.02G001100,R1_FC,-0.428366147
Glyma.02G001900,R1_FC,-0.25969451
Glyma.02G002000,R1_FC,-0.820947995
Glyma.02G002100,R1_FC,3.13247446
Glyma.02G002900,R1_FC,-0.626805205
Glyma.02G004000,R1_FC,-0.117720494
Glyma.02G004600,R1_FC,-0.698155601
Glyma.02G005600,R1_FC,4.153352805
Glyma.02G006200,R1_FC,2.478241225
Glyma.02G006600,R1_FC,-0.613721092
Glyma.02G007400,R1_FC,1.732019571
Glyma.02G008000,R1_FC,0.780923913
Glyma.02G009300,R1_FC,5.560284657
Glyma.02G009751,R1_FC,3.203119745
Glyma.02G009800,R1_FC,3.322497946
