TF,Stride,Response,value
WRKY,10,Yes,85.38
WRKY,10,No,14.62
WRKY,100,Yes,75.94
WRKY,100,No,24.06
WRKY,150,Yes,70.75
WRKY,150,No,29.25
RAV,10,Yes,77.12
RAV,10,No,22.88
RAV,100,Yes,62.98
RAV,100,No,37.02
RAV,150,Yes,54.5
RAV,150,No,45.5
