geneId,Family,Family_Binding
Glyma.01G245500,bHLH,No
Glyma.02G000400,bHLH,Yes
Glyma.02G000500,bHLH,No
Glyma.02G000700,bHLH,No
Glyma.02G001000,bHLH,No
Glyma.02G001100,bHLH,No
Glyma.02G001900,bHLH,Yes
Glyma.02G002000,bHLH,No
Glyma.02G002100,bHLH,No
Glyma.02G002900,bHLH,No
Glyma.02G004000,bHLH,No
Glyma.02G004600,bHLH,No
Glyma.02G005600,bHLH,No
Glyma.02G006200,bHLH,No
Glyma.02G006600,bHLH,No
Glyma.02G007400,bHLH,No
Glyma.02G008000,bHLH,No
Glyma.02G009300,bHLH,Yes
Glyma.02G009751,bHLH,No
Glyma.02G009800,bHLH,No
Glyma.02G010900,bHLH,No
Glyma.02G011600,bHLH,No
Glyma.02G011800,bHLH,No
Glyma.02G011900,bHLH,No
Glyma.02G012400,bHLH,No
Glyma.02G012700,bHLH,No
Glyma.02G013200,bHLH,Yes
Glyma.02G013402,bHLH,No
Glyma.02G013700,bHLH,Yes
Glyma.02G014000,bHLH,No
Glyma.02G014800,bHLH,No
Glyma.02G015900,bHLH,No
Glyma.02G016100,bHLH,No
Glyma.02G016400,bHLH,No
Glyma.02G017100,bHLH,No
Glyma.02G017500,bHLH,No
Glyma.02G019200,bHLH,No
Glyma.02G019400,bHLH,Yes
Glyma.02G019600,bHLH,No
Glyma.02G021600,bHLH,Yes
Glyma.02G022200,bHLH,No
Glyma.02G022400,bHLH,No
Glyma.02G023800,bHLH,No
Glyma.02G023900,bHLH,No
Glyma.02G024200,bHLH,No
Glyma.02G024500,bHLH,Yes
Glyma.02G024600,bHLH,No
Glyma.02G024800,bHLH,No
Glyma.02G026300,bHLH,No
Glyma.02G026500,bHLH,No
Glyma.02G027800,bHLH,Yes
Glyma.02G028400,bHLH,Yes
Glyma.02G028600,bHLH,No
Glyma.02G028700,bHLH,No
Glyma.02G028800,bHLH,No
Glyma.02G029400,bHLH,No
Glyma.02G031100,bHLH,No
Glyma.02G032200,bHLH,No
Glyma.02G034000,bHLH,No
Glyma.02G035000,bHLH,No
Glyma.02G035200,bHLH,No
Glyma.02G036000,bHLH,No
Glyma.02G036100,bHLH,No
Glyma.02G036500,bHLH,No
Glyma.02G038100,bHLH,Yes
Glyma.02G039400,bHLH,No
Glyma.02G041900,bHLH,No
Glyma.02G042500,bHLH,No
Glyma.02G044500,bHLH,No
Glyma.02G047000,bHLH,No
Glyma.02G047600,bHLH,No
Glyma.02G048400,bHLH,No
Glyma.02G048800,bHLH,No
Glyma.02G049600,bHLH,No
Glyma.02G049700,bHLH,No
Glyma.02G049800,bHLH,No
Glyma.02G052300,bHLH,No
Glyma.02G053600,bHLH,No
Glyma.02G054900,bHLH,No
Glyma.02G055000,bHLH,No
Glyma.02G055500,bHLH,No
Glyma.02G056700,bHLH,No
Glyma.02G057400,bHLH,No
Glyma.02G057900,bHLH,No
Glyma.02G058000,bHLH,No
Glyma.02G058200,bHLH,No
Glyma.02G059500,bHLH,No
Glyma.02G060102,bHLH,No
Glyma.02G061100,bHLH,No
Glyma.02G063900,bHLH,No
Glyma.02G064800,bHLH,No
Glyma.02G066200,bHLH,No
Glyma.02G067100,bHLH,No
Glyma.02G069400,bHLH,No
Glyma.02G070000,bHLH,No
Glyma.02G070600,bHLH,No
Glyma.02G071500,bHLH,Yes
Glyma.02G072000,bHLH,No
Glyma.02G072200,bHLH,No
Glyma.02G072500,bHLH,Yes
Glyma.02G075100,bHLH,No
Glyma.02G080000,bHLH,No
Glyma.02G080200,bHLH,No
Glyma.02G081200,bHLH,No
Glyma.02G081400,bHLH,No
Glyma.02G083600,bHLH,No
Glyma.02G083702,bHLH,No
Glyma.02G087000,bHLH,No
Glyma.02G087800,bHLH,No
Glyma.02G088700,bHLH,No
Glyma.02G089400,bHLH,No
Glyma.02G089500,bHLH,No
Glyma.02G091500,bHLH,No
Glyma.02G092500,bHLH,No
Glyma.02G093100,bHLH,No
Glyma.02G094500,bHLH,No
Glyma.02G095200,bHLH,No
Glyma.02G095500,bHLH,No
Glyma.02G096800,bHLH,No
Glyma.02G097000,bHLH,No
Glyma.02G097700,bHLH,No
Glyma.02G099500,bHLH,No
Glyma.02G100000,bHLH,No
Glyma.02G100300,bHLH,No
Glyma.02G102900,bHLH,No
Glyma.02G103700,bHLH,No
Glyma.02G104300,bHLH,No
Glyma.02G104500,bHLH,No
Glyma.02G105300,bHLH,No
Glyma.02G106100,bHLH,Yes
Glyma.02G106300,bHLH,No
Glyma.02G107500,bHLH,No
Glyma.02G107700,bHLH,No
Glyma.02G110300,bHLH,No
Glyma.02G111800,bHLH,No
Glyma.02G114000,bHLH,No
Glyma.02G116100,bHLH,No
Glyma.02G116300,bHLH,Yes
Glyma.02G121800,bHLH,No
Glyma.02G124600,bHLH,No
Glyma.02G124700,bHLH,No
Glyma.02G125400,bHLH,No
Glyma.02G125900,bHLH,No
Glyma.02G126500,bHLH,Yes
Glyma.02G128800,bHLH,No
Glyma.02G130400,bHLH,No
Glyma.02G131700,bHLH,Yes
Glyma.02G131900,bHLH,No
Glyma.02G132200,bHLH,No
Glyma.02G133500,bHLH,Yes
Glyma.02G133600,bHLH,No
Glyma.02G133900,bHLH,No
Glyma.02G134000,bHLH,No
Glyma.02G134500,bHLH,No
Glyma.02G134600,bHLH,No
Glyma.02G134700,bHLH,No
Glyma.02G135800,bHLH,No
Glyma.02G136300,bHLH,No
Glyma.02G137400,bHLH,No
Glyma.02G137500,bHLH,Yes
Glyma.02G141700,bHLH,No
Glyma.02G141800,bHLH,Yes
Glyma.02G142500,bHLH,No
Glyma.02G143700,bHLH,No
Glyma.02G146100,bHLH,No
Glyma.02G147300,bHLH,No
Glyma.02G148200,bHLH,No
Glyma.02G148400,bHLH,No
Glyma.02G149200,bHLH,No
Glyma.02G149800,bHLH,No
Glyma.02G149900,bHLH,Yes
Glyma.02G151200,bHLH,Yes
Glyma.02G152500,bHLH,No
Glyma.02G153000,bHLH,Yes
Glyma.02G155400,bHLH,Yes
Glyma.02G155600,bHLH,No
Glyma.02G156000,bHLH,No
Glyma.02G157200,bHLH,No
Glyma.02G157900,bHLH,No
Glyma.02G158700,bHLH,No
Glyma.02G160500,bHLH,Yes
Glyma.02G161100,bHLH,Yes
Glyma.02G162000,bHLH,No
Glyma.02G166800,bHLH,No
Glyma.02G167600,bHLH,Yes
Glyma.02G167900,bHLH,No
Glyma.02G168000,bHLH,No
Glyma.02G168900,bHLH,Yes
Glyma.02G170500,bHLH,No
Glyma.02G171100,bHLH,Yes
Glyma.02G172200,bHLH,Yes
Glyma.02G173000,bHLH,No
Glyma.02G174700,bHLH,No
Glyma.02G179100,bHLH,No
Glyma.02G181500,bHLH,No
Glyma.02G181800,bHLH,No
Glyma.02G182600,bHLH,No
Glyma.02G182900,bHLH,No
Glyma.02G184200,bHLH,No
Glyma.02G184800,bHLH,No
Glyma.02G185300,bHLH,Yes
Glyma.02G187200,bHLH,No
Glyma.02G190900,bHLH,No
Glyma.02G193200,bHLH,Yes
Glyma.02G195300,bHLH,Yes
Glyma.02G195400,bHLH,No
Glyma.02G195900,bHLH,No
Glyma.02G198000,bHLH,No
Glyma.02G198400,bHLH,No
Glyma.02G202500,bHLH,No
Glyma.02G203200,bHLH,No
Glyma.02G203300,bHLH,No
Glyma.02G204000,bHLH,Yes
Glyma.02G208000,bHLH,No
Glyma.02G208200,bHLH,No
Glyma.02G208400,bHLH,No
Glyma.02G208500,bHLH,Yes
Glyma.02G209000,bHLH,No
Glyma.02G209400,bHLH,No
Glyma.02G210300,bHLH,No
Glyma.02G211000,bHLH,No
Glyma.02G211300,bHLH,No
Glyma.02G211600,bHLH,No
Glyma.02G212000,bHLH,No
Glyma.02G213500,bHLH,No
Glyma.02G214300,bHLH,No
Glyma.02G215000,bHLH,No
Glyma.02G217100,bHLH,No
Glyma.02G217600,bHLH,No
Glyma.02G219700,bHLH,No
Glyma.02G220500,bHLH,No
Glyma.02G222600,bHLH,No
Glyma.02G224001,bHLH,No
Glyma.02G227000,bHLH,No
Glyma.02G227500,bHLH,No
Glyma.02G228200,bHLH,No
Glyma.02G229400,bHLH,No
Glyma.02G230200,bHLH,Yes
Glyma.02G230500,bHLH,Yes
Glyma.02G232600,bHLH,No
Glyma.02G233800,bHLH,No
Glyma.02G235700,bHLH,No
Glyma.02G236500,bHLH,No
Glyma.02G238100,bHLH,No
Glyma.02G238800,bHLH,No
Glyma.02G239100,bHLH,No
Glyma.02G239900,bHLH,No
Glyma.02G241200,bHLH,No
Glyma.02G242200,bHLH,No
Glyma.02G242900,bHLH,No
Glyma.02G243300,bHLH,No
Glyma.02G243600,bHLH,No
Glyma.02G244300,bHLH,Yes
Glyma.02G244400,bHLH,Yes
Glyma.02G244700,bHLH,No
Glyma.02G245400,bHLH,No
Glyma.02G246100,bHLH,No
Glyma.02G246500,bHLH,No
Glyma.02G247000,bHLH,No
Glyma.02G247600,bHLH,No
Glyma.02G247900,bHLH,No
Glyma.02G248100,bHLH,No
Glyma.02G248500,bHLH,Yes
Glyma.02G249600,bHLH,No
Glyma.02G250200,bHLH,Yes
Glyma.02G251000,bHLH,No
Glyma.02G251700,bHLH,Yes
Glyma.02G253200,bHLH,No
Glyma.02G254000,bHLH,No
Glyma.02G255400,bHLH,No
Glyma.02G256900,bHLH,No
Glyma.02G257200,bHLH,No
Glyma.02G257700,bHLH,No
Glyma.02G258300,bHLH,No
Glyma.02G260300,bHLH,Yes
Glyma.02G260800,bHLH,No
Glyma.02G263900,bHLH,No
Glyma.02G264600,bHLH,Yes
Glyma.02G266700,bHLH,No
Glyma.02G267900,bHLH,No
Glyma.02G269300,bHLH,Yes
Glyma.02G269600,bHLH,Yes
Glyma.02G271400,bHLH,No
Glyma.02G272400,bHLH,No
Glyma.02G273300,bHLH,No
Glyma.02G273500,bHLH,No
Glyma.02G274000,bHLH,Yes
Glyma.02G274400,bHLH,Yes
Glyma.02G277700,bHLH,No
Glyma.02G279700,bHLH,No
Glyma.02G280100,bHLH,Yes
Glyma.02G281000,bHLH,No
Glyma.02G282400,bHLH,No
Glyma.02G282500,bHLH,No
Glyma.02G283300,bHLH,No
Glyma.02G283900,bHLH,No
Glyma.02G284300,bHLH,No
Glyma.02G284667,bHLH,No
Glyma.02G284800,bHLH,No
Glyma.02G285100,bHLH,No
Glyma.02G286900,bHLH,No
Glyma.02G288600,bHLH,No
Glyma.02G289400,bHLH,No
Glyma.02G290000,bHLH,No
Glyma.02G290300,bHLH,No
Glyma.02G290800,bHLH,No
Glyma.02G292100,bHLH,No
Glyma.02G293700,bHLH,No
Glyma.02G294500,bHLH,No
Glyma.02G295900,bHLH,No
Glyma.02G296600,bHLH,No
Glyma.02G296900,bHLH,No
Glyma.02G297200,bHLH,No
Glyma.02G299100,bHLH,No
Glyma.02G299400,bHLH,Yes
Glyma.02G299500,bHLH,No
Glyma.02G299800,bHLH,No
Glyma.02G300400,bHLH,No
Glyma.02G300500,bHLH,No
Glyma.02G301800,bHLH,No
Glyma.02G302900,bHLH,No
Glyma.02G303300,bHLH,No
Glyma.02G303500,bHLH,No
Glyma.02G304500,bHLH,No
Glyma.02G305200,bHLH,Yes
Glyma.02G305400,bHLH,No
Glyma.02G305500,bHLH,No
Glyma.02G306400,bHLH,No
Glyma.02G307300,bHLH,No
Glyma.02G309300,bHLH,Yes
Glyma.02G309500,bHLH,No
Glyma.02G311200,bHLH,No
Glyma.03G001200,bHLH,No
Glyma.03G001500,bHLH,No
Glyma.03G001700,bHLH,Yes
Glyma.03G002200,bHLH,Yes
Glyma.03G003100,bHLH,No
Glyma.03G003300,bHLH,No
Glyma.03G004300,bHLH,No
Glyma.03G005600,bHLH,No
Glyma.03G005800,bHLH,No
Glyma.03G006200,bHLH,No
Glyma.03G006900,bHLH,No
Glyma.03G007100,bHLH,No
Glyma.03G009000,bHLH,Yes
Glyma.03G009500,bHLH,No
Glyma.03G012600,bHLH,No
Glyma.03G013400,bHLH,No
Glyma.03G015800,bHLH,No
Glyma.03G015900,bHLH,No
Glyma.03G016500,bHLH,No
Glyma.03G017200,bHLH,No
Glyma.03G017800,bHLH,No
Glyma.03G019500,bHLH,No
Glyma.03G022200,bHLH,No
Glyma.03G022800,bHLH,Yes
Glyma.03G027400,bHLH,No
Glyma.03G027500,bHLH,No
Glyma.03G029900,bHLH,No
Glyma.03G031000,bHLH,No
Glyma.03G032500,bHLH,No
Glyma.03G032700,bHLH,No
Glyma.03G032800,bHLH,No
Glyma.03G034000,bHLH,No
Glyma.03G035300,bHLH,No
Glyma.03G036000,bHLH,No
Glyma.03G036600,bHLH,No
Glyma.03G037500,bHLH,No
Glyma.03G037600,bHLH,No
Glyma.03G040300,bHLH,Yes
Glyma.03G040600,bHLH,No
Glyma.03G040900,bHLH,No
Glyma.03G041300,bHLH,Yes
Glyma.03G041500,bHLH,Yes
Glyma.03G041800,bHLH,No
Glyma.03G041850,bHLH,No
Glyma.03G042600,bHLH,Yes
Glyma.03G042700,bHLH,No
Glyma.03G043000,bHLH,No
Glyma.03G044500,bHLH,No
Glyma.03G044900,bHLH,Yes
Glyma.03G045400,bHLH,No
Glyma.03G050400,bHLH,No
Glyma.03G052400,bHLH,No
Glyma.03G054900,bHLH,No
Glyma.03G055900,bHLH,No
Glyma.03G056300,bHLH,Yes
Glyma.03G056800,bHLH,No
Glyma.03G057100,bHLH,No
Glyma.03G058000,bHLH,No
Glyma.03G060300,bHLH,No
Glyma.03G063200,bHLH,No
Glyma.03G063400,bHLH,No
Glyma.03G063900,bHLH,No
Glyma.03G066800,bHLH,No
Glyma.03G068100,bHLH,No
Glyma.03G069300,bHLH,No
Glyma.03G071700,bHLH,Yes
Glyma.03G073200,bHLH,No
Glyma.03G073702,bHLH,No
Glyma.03G073770,bHLH,No
Glyma.03G073776,bHLH,No
Glyma.03G073778,bHLH,No
Glyma.03G074000,bHLH,No
Glyma.03G074900,bHLH,No
Glyma.03G076100,bHLH,Yes
Glyma.03G076200,bHLH,No
Glyma.03G079500,bHLH,No
Glyma.03G081900,bHLH,No
Glyma.03G082100,bHLH,No
Glyma.03G083100,bHLH,No
Glyma.03G083200,bHLH,No
Glyma.03G084600,bHLH,No
Glyma.03G085900,bHLH,No
Glyma.03G086200,bHLH,No
Glyma.03G087500,bHLH,No
Glyma.03G088800,bHLH,Yes
Glyma.03G088900,bHLH,Yes
Glyma.03G090000,bHLH,No
Glyma.03G092500,bHLH,No
Glyma.03G092700,bHLH,No
Glyma.03G093600,bHLH,No
Glyma.03G097300,bHLH,No
Glyma.03G097600,bHLH,No
Glyma.03G098300,bHLH,No
Glyma.03G098600,bHLH,No
Glyma.03G098900,bHLH,No
Glyma.03G099000,bHLH,No
Glyma.03G099500,bHLH,No
Glyma.03G101000,bHLH,No
Glyma.03G102700,bHLH,No
Glyma.03G102800,bHLH,No
Glyma.03G103400,bHLH,No
Glyma.03G105700,bHLH,No
Glyma.03G107000,bHLH,No
Glyma.03G107900,bHLH,No
Glyma.03G108000,bHLH,Yes
Glyma.03G108200,bHLH,No
Glyma.03G109900,bHLH,No
Glyma.03G110100,bHLH,No
Glyma.03G112700,bHLH,No
Glyma.03G114100,bHLH,No
Glyma.03G114600,bHLH,No
Glyma.03G119200,bHLH,No
Glyma.03G119500,bHLH,No
Glyma.03G120300,bHLH,No
Glyma.03G120700,bHLH,No
Glyma.03G122000,bHLH,Yes
Glyma.03G122500,bHLH,No
Glyma.03G124300,bHLH,Yes
Glyma.03G125300,bHLH,No
Glyma.03G125600,bHLH,No
Glyma.03G126000,bHLH,No
Glyma.03G126200,bHLH,No
Glyma.03G127300,bHLH,No
Glyma.03G127600,bHLH,Yes
Glyma.03G128300,bHLH,Yes
Glyma.03G129300,bHLH,No
Glyma.03G130300,bHLH,Yes
Glyma.03G130800,bHLH,No
Glyma.03G131000,bHLH,No
Glyma.03G131600,bHLH,No
Glyma.03G132700,bHLH,No
Glyma.03G133200,bHLH,Yes
Glyma.03G134100,bHLH,No
Glyma.03G134200,bHLH,No
Glyma.03G134800,bHLH,No
Glyma.03G135800,bHLH,Yes
Glyma.03G136000,bHLH,No
Glyma.03G136500,bHLH,No
Glyma.03G137000,bHLH,No
Glyma.03G137100,bHLH,No
Glyma.03G137700,bHLH,Yes
Glyma.03G138000,bHLH,No
Glyma.03G138200,bHLH,No
Glyma.03G140700,bHLH,No
Glyma.03G141600,bHLH,Yes
Glyma.03G142100,bHLH,No
Glyma.03G142400,bHLH,No
Glyma.03G142500,bHLH,No
Glyma.03G142800,bHLH,No
Glyma.03G143000,bHLH,No
Glyma.03G143100,bHLH,No
Glyma.03G143700,bHLH,No
Glyma.03G146100,bHLH,No
Glyma.03G147700,bHLH,No
Glyma.03G147900,bHLH,No
Glyma.03G148500,bHLH,No
Glyma.03G149400,bHLH,No
Glyma.03G150600,bHLH,Yes
Glyma.03G151200,bHLH,No
Glyma.03G152400,bHLH,No
Glyma.03G154700,bHLH,No
Glyma.03G156100,bHLH,No
Glyma.03G156700,bHLH,No
Glyma.03G157700,bHLH,No
Glyma.03G157800,bHLH,No
Glyma.03G158700,bHLH,No
Glyma.03G159100,bHLH,No
Glyma.03G160100,bHLH,No
Glyma.03G160200,bHLH,No
Glyma.03G160400,bHLH,No
Glyma.03G160600,bHLH,No
Glyma.03G161600,bHLH,No
Glyma.03G162600,bHLH,No
Glyma.03G162800,bHLH,No
Glyma.03G163100,bHLH,No
Glyma.03G164300,bHLH,Yes
Glyma.03G165800,bHLH,No
Glyma.03G166300,bHLH,No
Glyma.03G166400,bHLH,No
Glyma.03G167200,bHLH,No
Glyma.03G168000,bHLH,No
Glyma.03G168700,bHLH,No
Glyma.03G168900,bHLH,No
Glyma.03G169500,bHLH,No
Glyma.03G170300,bHLH,No
Glyma.03G171500,bHLH,Yes
Glyma.03G171600,bHLH,No
Glyma.03G172300,bHLH,No
Glyma.03G173100,bHLH,No
Glyma.03G173200,bHLH,No
Glyma.03G173300,bHLH,No
Glyma.03G175100,bHLH,Yes
Glyma.03G176300,bHLH,No
Glyma.03G176800,bHLH,No
Glyma.03G177600,bHLH,No
Glyma.03G178100,bHLH,Yes
Glyma.03G180100,bHLH,No
Glyma.03G181700,bHLH,No
Glyma.03G181800,bHLH,No
Glyma.03G182500,bHLH,No
Glyma.03G182800,bHLH,No
Glyma.03G183300,bHLH,No
Glyma.03G183400,bHLH,No
Glyma.03G184500,bHLH,No
Glyma.03G185900,bHLH,No
Glyma.03G186200,bHLH,No
Glyma.03G186300,bHLH,Yes
Glyma.03G186500,bHLH,Yes
Glyma.03G187500,bHLH,No
Glyma.03G187700,bHLH,No
Glyma.03G188000,bHLH,Yes
Glyma.03G188400,bHLH,No
Glyma.03G189600,bHLH,Yes
Glyma.03G189800,bHLH,Yes
Glyma.03G191300,bHLH,No
Glyma.03G191500,bHLH,No
Glyma.03G192900,bHLH,No
Glyma.03G193200,bHLH,No
Glyma.03G193600,bHLH,No
