TF,TF1_TF2_count,TF1_count,TF2_count,cosine,zscore,helper
ERF073,451,808,940,0.517495925,27.71226793,0
ERF4,726,940,2103,0.516360553,33.11017059,0
ERF073,455,808,971,0.513684074,27.58418685,0
ERF091,751,2006,1068,0.513084442,33.41472613,0
ERF013,399,1260,481,0.512525036,31.09681815,0
ERF104,1112,2240,2103,0.512343395,26.03012225,0
MYB116,132,169,397,0.50960693,35.51233116,0
ERF10,589,1872,718,0.508042624,30.96363786,0
ERF073,682,808,2240,0.506937811,32.29529936,0
ERF069,826,1189,2240,0.506133532,27.186912,0
ERF115,690,895,2077,0.506080175,36.20563053,0
ERF096,626,754,2077,0.500230781,35.10891574,0
ERF073,652,808,2103,0.500175343,26.1104687,0
MYB107,176,296,419,0.499758053,29.27399838,0
ERF073,584,808,1697,0.498730864,30.16919269,0
ERF7,706,971,2077,0.497137859,32.97999776,0
ERF096,646,754,2240,0.497076047,30.80469414,0
MYB4,189,215,674,0.496492424,38.79044273,0
ERF003,730,2245,971,0.494430294,28.35536832,0
NAC028,166,317,358,0.492761699,34.93179672,0
ERF003,805,2245,1189,0.49271613,28.37745357,0
ERF003,625,2245,718,0.492277088,31.59517666,0
ERF7,702,971,2103,0.491255992,25.97217981,0
ERF003,659,2245,808,0.489295883,29.87043436,0
ERF069,479,1189,808,0.488696137,31.48523487,0
ERF013,789,1260,2077,0.487723276,30.19863226,0
ERF096,579,754,1872,0.487348876,31.44069363,0
MYB1,115,276,202,0.487043346,36.0757984,0
ERF10,685,1872,1068,0.484453416,30.13239579,0
ERF096,610,754,2103,0.484422744,26.60061747,0
ERF073,378,808,754,0.484284363,31.29065289,0
ERF109,424,1068,718,0.484192444,32.3513479,0
MYB17,267,551,554,0.4832597,32.25895633,0
ERF104,747,2240,1068,0.482959781,23.01117367,0
MYB13,337,686,711,0.482539692,28.47638539,0
ERF109,722,1068,2103,0.481761328,25.97627336,0
ERF013,645,1260,1432,0.480178746,30.74107251,0
ERF073,365,808,718,0.479208996,30.89765728,0
