geneId,Sample,Binding
Glyma.02G110300,WRKY_M1,no
Glyma.02G111800,WRKY_M1,no
Glyma.02G114000,WRKY_M1,no
Glyma.02G116100,WRKY_M1,no
Glyma.02G116300,WRKY_M1,no
Glyma.02G121800,WRKY_M1,no
Glyma.02G124600,WRKY_M1,no
Glyma.02G124700,WRKY_M1,no
Glyma.02G125400,WRKY_M1,no
Glyma.02G125900,WRKY_M1,no
Glyma.02G126500,WRKY_M1,no
Glyma.02G128800,WRKY_M1,no
Glyma.02G130400,WRKY_M1,no
Glyma.02G131700,WRKY_M1,no
Glyma.02G131900,WRKY_M1,no
Glyma.02G132200,WRKY_M1,no
Glyma.02G133500,WRKY_M1,no
Glyma.02G133600,WRKY_M1,no
Glyma.02G133900,WRKY_M1,no
Glyma.02G134000,WRKY_M1,no
Glyma.02G134500,WRKY_M1,no
Glyma.02G134600,WRKY_M1,no
Glyma.02G134700,WRKY_M1,no
Glyma.02G135800,WRKY_M1,no
Glyma.02G136300,WRKY_M1,no
Glyma.02G137400,WRKY_M1,no
Glyma.02G137500,WRKY_M1,no
Glyma.02G141700,WRKY_M1,no
Glyma.02G141800,WRKY_M1,no
Glyma.02G142500,WRKY_M1,no
Glyma.02G143700,WRKY_M1,no
Glyma.02G146100,WRKY_M1,no
Glyma.02G147300,WRKY_M1,no
Glyma.02G148200,WRKY_M1,no
Glyma.02G148400,WRKY_M1,no
Glyma.02G149200,WRKY_M1,no
Glyma.02G149800,WRKY_M1,no
Glyma.02G149900,WRKY_M1,no
Glyma.02G151200,WRKY_M1,no
Glyma.02G152500,WRKY_M1,no
Glyma.02G153000,WRKY_M1,no
Glyma.02G155400,WRKY_M1,no
Glyma.02G155600,WRKY_M1,no
Glyma.02G156000,WRKY_M1,no
Glyma.02G157200,WRKY_M1,no
Glyma.02G157900,WRKY_M1,no
Glyma.02G158700,WRKY_M1,no
Glyma.02G160500,WRKY_M1,no
Glyma.02G161100,WRKY_M1,no
Glyma.02G162000,WRKY_M1,no
Glyma.02G166800,WRKY_M1,no
Glyma.02G167600,WRKY_M1,no
Glyma.02G167900,WRKY_M1,no
Glyma.02G168000,WRKY_M1,no
Glyma.02G168900,WRKY_M1,no
Glyma.02G170500,WRKY_M1,no
Glyma.02G171100,WRKY_M1,no
Glyma.02G172200,WRKY_M1,no
Glyma.02G173000,WRKY_M1,no
Glyma.02G174700,WRKY_M1,no
Glyma.02G179100,WRKY_M1,no
Glyma.02G181500,WRKY_M1,no
Glyma.02G181800,WRKY_M1,no
Glyma.02G182600,WRKY_M1,no
Glyma.02G182900,WRKY_M1,no
Glyma.02G184200,WRKY_M1,no
Glyma.02G184800,WRKY_M1,no
Glyma.02G185300,WRKY_M1,no
Glyma.02G187200,WRKY_M1,no
Glyma.02G190900,WRKY_M1,no
Glyma.02G193200,WRKY_M1,no
Glyma.02G195300,WRKY_M1,no
Glyma.02G195400,WRKY_M1,no
Glyma.02G195900,WRKY_M1,no
Glyma.02G198000,WRKY_M1,no
Glyma.02G198400,WRKY_M1,no
Glyma.02G202500,WRKY_M1,no
Glyma.02G203200,WRKY_M1,no
Glyma.02G203300,WRKY_M1,no
Glyma.02G204000,WRKY_M1,no
Glyma.02G208000,WRKY_M1,no
Glyma.02G208200,WRKY_M1,no
Glyma.02G208400,WRKY_M1,no
Glyma.02G208500,WRKY_M1,no
Glyma.02G209000,WRKY_M1,no
Glyma.02G209400,WRKY_M1,no
Glyma.02G210300,WRKY_M1,no
Glyma.02G211000,WRKY_M1,no
Glyma.02G211300,WRKY_M1,no
Glyma.02G211600,WRKY_M1,no
Glyma.02G212000,WRKY_M1,no
Glyma.02G213500,WRKY_M1,no
Glyma.02G214300,WRKY_M1,no
Glyma.02G215000,WRKY_M1,no
Glyma.02G217100,WRKY_M1,no
Glyma.02G217600,WRKY_M1,no
Glyma.02G219700,WRKY_M1,no
Glyma.02G220500,WRKY_M1,no
Glyma.02G222600,WRKY_M1,no
Glyma.02G224001,WRKY_M1,no
Glyma.02G227000,WRKY_M1,no
Glyma.02G227500,WRKY_M1,no
Glyma.02G228200,WRKY_M1,no
Glyma.02G229400,WRKY_M1,no
Glyma.02G230200,WRKY_M1,no
Glyma.02G230500,WRKY_M1,no
Glyma.02G232600,WRKY_M1,no
Glyma.02G233800,WRKY_M1,no
Glyma.02G235700,WRKY_M1,no
Glyma.02G236500,WRKY_M1,no
Glyma.02G238100,WRKY_M1,no
Glyma.02G238800,WRKY_M1,no
Glyma.02G239100,WRKY_M1,no
Glyma.02G239900,WRKY_M1,no
Glyma.02G241200,WRKY_M1,yes
Glyma.02G242200,WRKY_M1,no
Glyma.02G242900,WRKY_M1,yes
Glyma.02G243300,WRKY_M1,no
Glyma.02G243600,WRKY_M1,no
Glyma.02G244300,WRKY_M1,no
Glyma.02G244400,WRKY_M1,no
Glyma.02G244700,WRKY_M1,no
Glyma.02G245400,WRKY_M1,no
Glyma.02G246100,WRKY_M1,no
Glyma.02G246500,WRKY_M1,no
Glyma.02G247000,WRKY_M1,no
Glyma.02G247600,WRKY_M1,no
Glyma.02G247900,WRKY_M1,no
Glyma.02G248100,WRKY_M1,no
Glyma.02G248500,WRKY_M1,no
Glyma.02G249600,WRKY_M1,no
Glyma.02G250200,WRKY_M1,no
Glyma.02G251000,WRKY_M1,no
Glyma.02G251700,WRKY_M1,no
Glyma.02G253200,WRKY_M1,no
Glyma.02G254000,WRKY_M1,no
Glyma.02G255400,WRKY_M1,no
Glyma.02G256900,WRKY_M1,no
Glyma.02G257200,WRKY_M1,no
Glyma.02G257700,WRKY_M1,no
Glyma.02G258300,WRKY_M1,no
Glyma.02G260300,WRKY_M1,no
Glyma.02G260800,WRKY_M1,no
Glyma.02G263900,WRKY_M1,no
Glyma.02G264600,WRKY_M1,no
Glyma.02G266700,WRKY_M1,no
Glyma.02G267900,WRKY_M1,no
Glyma.02G269300,WRKY_M1,no
Glyma.02G269600,WRKY_M1,no
Glyma.02G271400,WRKY_M1,no
Glyma.02G272400,WRKY_M1,no
Glyma.02G273300,WRKY_M1,no
Glyma.02G273500,WRKY_M1,no
Glyma.02G274000,WRKY_M1,no
Glyma.02G274400,WRKY_M1,no
Glyma.02G277700,WRKY_M1,no
Glyma.02G279700,WRKY_M1,no
Glyma.02G280100,WRKY_M1,no
Glyma.02G281000,WRKY_M1,no
Glyma.02G282400,WRKY_M1,no
Glyma.02G282500,WRKY_M1,no
Glyma.02G283300,WRKY_M1,no
Glyma.02G283900,WRKY_M1,no
Glyma.02G284300,WRKY_M1,no
Glyma.02G284667,WRKY_M1,no
Glyma.02G284800,WRKY_M1,no
Glyma.02G285100,WRKY_M1,no
Glyma.02G286900,WRKY_M1,no
Glyma.02G288600,WRKY_M1,no
Glyma.02G289400,WRKY_M1,no
Glyma.02G290000,WRKY_M1,no
Glyma.02G290300,WRKY_M1,no
Glyma.02G290800,WRKY_M1,no
Glyma.02G292100,WRKY_M1,no
Glyma.02G293700,WRKY_M1,no
Glyma.02G294500,WRKY_M1,no
Glyma.02G295900,WRKY_M1,no
Glyma.02G296600,WRKY_M1,no
Glyma.02G296900,WRKY_M1,no
Glyma.02G297200,WRKY_M1,no
Glyma.02G299100,WRKY_M1,no
Glyma.02G299400,WRKY_M1,no
Glyma.02G299500,WRKY_M1,no
Glyma.02G299800,WRKY_M1,no
Glyma.02G300400,WRKY_M1,no
Glyma.02G300500,WRKY_M1,no
Glyma.02G301800,WRKY_M1,no
Glyma.02G302900,WRKY_M1,no
Glyma.02G303300,WRKY_M1,no
Glyma.02G303500,WRKY_M1,no
Glyma.02G304500,WRKY_M1,no
Glyma.02G305200,WRKY_M1,no
Glyma.02G305400,WRKY_M1,no
Glyma.02G305500,WRKY_M1,no
Glyma.02G306400,WRKY_M1,no
Glyma.02G307300,WRKY_M1,no
Glyma.02G309300,WRKY_M1,no
Glyma.02G309500,WRKY_M1,no
Glyma.02G311200,WRKY_M1,no
Glyma.03G001200,WRKY_M1,no
Glyma.03G001500,WRKY_M1,no
Glyma.03G001700,WRKY_M1,no
Glyma.03G002200,WRKY_M1,no
Glyma.03G003100,WRKY_M1,no
Glyma.03G003300,WRKY_M1,no
Glyma.03G004300,WRKY_M1,no
Glyma.03G005600,WRKY_M1,no
Glyma.03G005800,WRKY_M1,no
Glyma.03G006200,WRKY_M1,no
Glyma.03G006900,WRKY_M1,no
Glyma.03G007100,WRKY_M1,no
Glyma.03G009000,WRKY_M1,no
Glyma.03G009500,WRKY_M1,no
Glyma.03G012600,WRKY_M1,no
Glyma.03G013400,WRKY_M1,no
Glyma.03G015800,WRKY_M1,no
Glyma.03G015900,WRKY_M1,no
Glyma.03G016500,WRKY_M1,no
Glyma.03G017200,WRKY_M1,no
Glyma.03G017800,WRKY_M1,no
Glyma.03G019500,WRKY_M1,no
Glyma.03G022200,WRKY_M1,no
Glyma.03G022800,WRKY_M1,no
Glyma.03G027400,WRKY_M1,no
Glyma.03G027500,WRKY_M1,no
Glyma.03G029900,WRKY_M1,no
Glyma.03G031000,WRKY_M1,no
Glyma.03G032500,WRKY_M1,no
Glyma.03G032700,WRKY_M1,no
Glyma.03G032800,WRKY_M1,no
Glyma.03G034000,WRKY_M1,no
Glyma.03G035300,WRKY_M1,no
Glyma.03G036000,WRKY_M1,no
Glyma.03G036600,WRKY_M1,no
Glyma.03G037500,WRKY_M1,no
Glyma.03G037600,WRKY_M1,no
Glyma.03G040300,WRKY_M1,no
Glyma.03G040600,WRKY_M1,no
Glyma.03G040900,WRKY_M1,no
Glyma.03G041300,WRKY_M1,no
Glyma.03G041500,WRKY_M1,no
Glyma.03G041800,WRKY_M1,no
Glyma.03G041850,WRKY_M1,no
Glyma.03G042600,WRKY_M1,no
Glyma.03G042700,WRKY_M1,no
Glyma.03G043000,WRKY_M1,no
Glyma.03G044500,WRKY_M1,no
Glyma.03G044900,WRKY_M1,no
Glyma.03G045400,WRKY_M1,no
Glyma.03G050400,WRKY_M1,no
Glyma.03G052400,WRKY_M1,no
Glyma.03G054900,WRKY_M1,no
Glyma.03G055900,WRKY_M1,no
Glyma.03G056300,WRKY_M1,no
Glyma.03G056800,WRKY_M1,no
Glyma.03G057100,WRKY_M1,no
Glyma.03G058000,WRKY_M1,no
Glyma.03G060300,WRKY_M1,no
Glyma.03G063200,WRKY_M1,no
Glyma.03G063400,WRKY_M1,no
Glyma.03G063900,WRKY_M1,no
Glyma.03G066800,WRKY_M1,no
Glyma.03G068100,WRKY_M1,no
Glyma.03G069300,WRKY_M1,no
Glyma.03G071700,WRKY_M1,no
Glyma.03G073200,WRKY_M1,no
Glyma.03G073702,WRKY_M1,no
Glyma.03G073770,WRKY_M1,no
Glyma.03G073776,WRKY_M1,no
Glyma.03G073778,WRKY_M1,no
Glyma.03G074000,WRKY_M1,no
Glyma.03G074900,WRKY_M1,no
Glyma.03G076100,WRKY_M1,no
Glyma.03G076200,WRKY_M1,no
Glyma.03G079500,WRKY_M1,no
Glyma.03G081900,WRKY_M1,no
Glyma.03G082100,WRKY_M1,no
Glyma.03G083100,WRKY_M1,no
Glyma.03G083200,WRKY_M1,no
Glyma.03G084600,WRKY_M1,no
Glyma.03G085900,WRKY_M1,no
Glyma.03G086200,WRKY_M1,no
Glyma.03G087500,WRKY_M1,no
Glyma.03G088800,WRKY_M1,no
Glyma.03G088900,WRKY_M1,no
Glyma.03G090000,WRKY_M1,no
Glyma.03G092500,WRKY_M1,no
Glyma.03G092700,WRKY_M1,no
Glyma.03G093600,WRKY_M1,no
Glyma.03G097300,WRKY_M1,no
Glyma.03G097600,WRKY_M1,no
Glyma.03G098300,WRKY_M1,no
Glyma.03G098600,WRKY_M1,no
Glyma.03G098900,WRKY_M1,no
Glyma.03G099000,WRKY_M1,no
Glyma.03G099500,WRKY_M1,no
Glyma.03G101000,WRKY_M1,no
Glyma.03G102700,WRKY_M1,no
Glyma.03G102800,WRKY_M1,no
Glyma.03G103400,WRKY_M1,no
Glyma.03G105700,WRKY_M1,no
Glyma.03G107000,WRKY_M1,no
Glyma.03G107900,WRKY_M1,no
Glyma.03G108000,WRKY_M1,no
Glyma.03G108200,WRKY_M1,no
Glyma.03G109900,WRKY_M1,no
Glyma.03G110100,WRKY_M1,no
Glyma.03G112700,WRKY_M1,no
Glyma.03G114100,WRKY_M1,no
Glyma.03G114600,WRKY_M1,no
