geneId,FC,FC_Type,cluster
Glyma.02G103700,-0.783713162,R1_FC,cluster3
Glyma.02G104300,4.286897631,R1_FC,cluster8
Glyma.02G104500,4.097806004,R1_FC,cluster8
Glyma.02G105300,-0.390903683,R1_FC,cluster3
Glyma.02G106100,0.412509115,R1_FC,cluster9
Glyma.02G106300,-0.614638419,R1_FC,cluster3
Glyma.02G107500,0.407847645,R1_FC,cluster9
Glyma.02G107700,0.537558445,R1_FC,cluster9
Glyma.02G110300,-0.775266585,R1_FC,cluster6
Glyma.02G111800,-0.16892688,R1_FC,cluster3
Glyma.02G114000,0.969803893,R1_FC,cluster9
Glyma.02G116100,-0.545327051,R1_FC,cluster3
Glyma.02G116300,-0.804981575,R1_FC,cluster3
Glyma.02G121800,-0.998481059,R1_FC,cluster3
Glyma.02G124600,2.146830663,R1_FC,cluster4
Glyma.02G124700,3.371730301,R1_FC,cluster8
Glyma.02G125400,-0.558920736,R1_FC,cluster3
Glyma.02G125900,1.679400157,R1_FC,cluster4
Glyma.02G126500,-0.932367217,R1_FC,cluster3
Glyma.02G128800,2.517223072,R1_FC,cluster1
Glyma.02G130400,3.518861621,R1_FC,cluster1
Glyma.02G131700,-0.398142997,R1_FC,cluster3
Glyma.02G131900,0.590436047,R1_FC,cluster9
Glyma.02G132200,1.825477739,R1_FC,cluster1
Glyma.02G133500,0.389244793,R1_FC,cluster9
Glyma.02G133600,-0.329079448,R1_FC,cluster3
Glyma.02G133900,-1.186208831,R1_FC,cluster3
Glyma.02G134000,2.00138077,R1_FC,cluster4
Glyma.02G134500,2.413073031,R1_FC,cluster4
Glyma.02G134600,-0.551732615,R1_FC,cluster3
Glyma.02G134700,2.795557723,R1_FC,cluster8
Glyma.02G135800,-1.105991395,R1_FC,cluster3
Glyma.02G136300,-0.468732912,R1_FC,cluster3
Glyma.02G137400,0.769999218,R1_FC,cluster9
Glyma.02G137500,-0.670735145,R1_FC,cluster3
Glyma.02G141700,-0.73771662,R1_FC,cluster3
Glyma.02G141800,0.393103441,R1_FC,cluster9
Glyma.02G142500,-0.915718527,R1_FC,cluster3
Glyma.02G143700,-0.527273654,R1_FC,cluster3
Glyma.02G146100,-0.516496282,R1_FC,cluster3
Glyma.02G147300,-1.365348723,R1_FC,cluster6
Glyma.02G148200,5.483045569,R1_FC,cluster2
Glyma.02G148400,2.124273265,R1_FC,cluster4
Glyma.02G149200,0.526665258,R1_FC,cluster9
Glyma.02G149800,-0.581966215,R1_FC,cluster3
Glyma.02G149900,1.002238608,R1_FC,cluster9
Glyma.02G151200,0.868412437,R1_FC,cluster9
Glyma.02G152500,-0.238258815,R1_FC,cluster3
Glyma.02G153000,-1.929053422,R1_FC,cluster6
Glyma.02G155400,0.6829452,R1_FC,cluster9
Glyma.02G155600,1.35594892,R1_FC,cluster9
Glyma.02G156000,0.719233895,R1_FC,cluster9
Glyma.02G157200,-0.6381309,R1_FC,cluster3
Glyma.02G157900,1.138518881,R1_FC,cluster9
Glyma.02G158700,2.556906476,R1_FC,cluster4
Glyma.02G160500,-0.763583983,R1_FC,cluster3
Glyma.02G161100,0.431772244,R1_FC,cluster9
Glyma.02G162000,-0.743127522,R1_FC,cluster3
Glyma.02G166800,2.808804731,R1_FC,cluster7
Glyma.02G167600,2.416973398,R1_FC,cluster4
Glyma.02G167900,0.297241439,R1_FC,cluster9
Glyma.02G168000,-0.773628132,R1_FC,cluster3
Glyma.02G168900,0.352954116,R1_FC,cluster9
Glyma.02G170500,0.822829124,R1_FC,cluster9
Glyma.02G171100,-0.470517667,R1_FC,cluster3
Glyma.02G172200,5.960628367,R1_FC,cluster2
Glyma.02G173000,0.605663866,R1_FC,cluster9
Glyma.02G174700,1.458029342,R1_FC,cluster4
Glyma.02G179100,-1.00577316,R1_FC,cluster3
Glyma.02G181500,1.047003185,R1_FC,cluster4
Glyma.02G181800,3.320798493,R1_FC,cluster7
Glyma.02G182600,-0.58349582,R1_FC,cluster3
Glyma.02G182900,2.095001048,R1_FC,cluster9
Glyma.02G184200,0.373712481,R1_FC,cluster5
Glyma.02G184800,-0.37496237,R1_FC,cluster3
Glyma.02G185300,-0.800571161,R1_FC,cluster3
Glyma.02G187200,0.447797119,R1_FC,cluster9
Glyma.02G190900,1.673099561,R1_FC,cluster4
Glyma.02G193200,1.198617405,R1_FC,cluster9
Glyma.02G195300,6.045737666,R1_FC,cluster2
Glyma.02G195400,1.716782226,R1_FC,cluster4
Glyma.02G195900,5.240412769,R1_FC,cluster2
Glyma.02G198000,-0.695684526,R1_FC,cluster3
Glyma.02G198400,-0.830308693,R1_FC,cluster3
Glyma.02G202500,-1.759446619,R1_FC,cluster6
Glyma.02G203200,-0.409281505,R1_FC,cluster3
Glyma.02G203300,-0.591867952,R1_FC,cluster3
Glyma.02G204000,0.544705436,R1_FC,cluster9
Glyma.02G208000,0.633408368,R1_FC,cluster9
Glyma.02G208200,0.517784765,R1_FC,cluster9
Glyma.02G208400,1.653667423,R1_FC,cluster4
Glyma.02G208500,1.153082855,R1_FC,cluster4
Glyma.02G209000,-0.917956835,R1_FC,cluster3
Glyma.02G209400,0.12588907,R1_FC,cluster9
Glyma.02G210300,2.390142426,R1_FC,cluster7
Glyma.02G211000,0.935027994,R1_FC,cluster9
Glyma.02G211300,0.693636299,R1_FC,cluster9
Glyma.02G211600,2.089626334,R1_FC,cluster9
Glyma.02G212000,-1.502336071,R1_FC,cluster3
Glyma.02G213500,1.233034163,R1_FC,cluster4
Glyma.02G214300,-0.385697717,R1_FC,cluster3
Glyma.02G215000,-0.221651373,R1_FC,cluster3
Glyma.02G217100,-0.162701583,R1_FC,cluster3
Glyma.02G217600,2.479205663,R1_FC,cluster4
Glyma.02G219700,-0.595317955,R1_FC,cluster3
Glyma.02G220500,0.595414071,R1_FC,cluster9
Glyma.02G222600,-0.238862041,R1_FC,cluster3
Glyma.02G224001,0.615540119,R1_FC,cluster9
Glyma.02G227000,1.051408895,R1_FC,cluster9
Glyma.02G227500,-1.902939111,R1_FC,cluster6
Glyma.02G228200,1.204815958,R1_FC,cluster9
Glyma.02G229400,-0.546894674,R1_FC,cluster3
Glyma.02G230200,0.868687573,R1_FC,cluster9
Glyma.02G230500,-0.414081886,R1_FC,cluster3
Glyma.02G232600,3.602117864,R1_FC,cluster8
Glyma.02G233800,7.03775701,R1_FC,cluster2
Glyma.02G235700,0.521961336,R1_FC,cluster9
Glyma.02G236500,0.863090104,R1_FC,cluster9
Glyma.02G238100,0.421312124,R1_FC,cluster9
Glyma.02G238800,1.704002021,R1_FC,cluster4
Glyma.02G239100,4.709054133,R1_FC,cluster2
Glyma.02G239900,2.539361466,R1_FC,cluster4
Glyma.02G241200,0.921412928,R1_FC,cluster9
Glyma.02G242200,0.679220574,R1_FC,cluster9
Glyma.02G242900,4.977076347,R1_FC,cluster8
Glyma.02G243300,3.025202724,R1_FC,cluster8
Glyma.02G243600,2.309878141,R1_FC,cluster4
Glyma.02G244300,-1.082367459,R1_FC,cluster3
Glyma.02G244400,-0.338616789,R1_FC,cluster3
