geneId,Family,cluster
Glyma.17G147600,NA,cluster1
Glyma.17G152400,NA,cluster1
Glyma.17G187300,NA,cluster1
Glyma.17G236200,C2H2,cluster1
Glyma.17G258200,NA,cluster1
Glyma.17G258400,NA,cluster1
Glyma.18G041600,NA,cluster1
Glyma.18G158400,NA,cluster1
Glyma.18G190200,NA,cluster1
Glyma.18G234600,NA,cluster1
Glyma.18G239000,NA,cluster1
Glyma.18G256400,NA,cluster1
Glyma.18G267900,NA,cluster1
Glyma.18G293600,NA,cluster1
Glyma.19G115300,NA,cluster1
Glyma.19G231800,NA,cluster1
Glyma.19G245400,NA,cluster1
Glyma.20G032400,NA,cluster1
Glyma.20G032500,NA,cluster1
Glyma.20G046800,NA,cluster1
Glyma.20G051700,NA,cluster1
Glyma.20G068000,NA,cluster1
Glyma.20G133200,NA,cluster1
Glyma.20G169200,NA,cluster1
Glyma.20G199600,NA,cluster1
Glyma.U031413,NA,cluster1
Glyma.12G189000,NA,cluster2
Glyma.02G307300,NA,cluster2
Glyma.15G156100,NA,cluster2
Glyma.10G295300,NA,cluster2
Glyma.04G121700,NA,cluster2
Glyma.13G068800,NA,cluster2
Glyma.20G114200,NA,cluster2
Glyma.01G134600,NA,cluster2
Glyma.01G036600,C2H2,cluster2
Glyma.01G108200,NA,cluster2
Glyma.01G126600,NA,cluster2
Glyma.01G127100,NA,cluster2
Glyma.01G135200,NA,cluster2
Glyma.01G137700,NA,cluster2
Glyma.01G202100,NA,cluster2
Glyma.01G217600,NA,cluster2
Glyma.02G024600,NA,cluster2
Glyma.02G024800,NA,cluster2
Glyma.02G080200,ERF,cluster2
Glyma.02G083600,NA,cluster2
Glyma.02G089400,NA,cluster2
Glyma.02G148200,NA,cluster2
Glyma.02G172200,NA,cluster2
Glyma.02G195300,NA,cluster2
Glyma.02G195900,NA,cluster2
Glyma.02G233800,NA,cluster2
Glyma.02G239100,NA,cluster2
Glyma.02G300500,NA,cluster2
Glyma.03G003100,NA,cluster2
Glyma.03G044900,NA,cluster2
Glyma.03G073778,NA,cluster2
Glyma.03G135800,HSF,cluster2
Glyma.03G142100,NA,cluster2
Glyma.03G143700,NA,cluster2
Glyma.03G157800,NA,cluster2
Glyma.03G160200,NA,cluster2
Glyma.03G160400,NA,cluster2
Glyma.03G168000,NA,cluster2
Glyma.03G173100,C2H2,cluster2
Glyma.03G176300,NA,cluster2
Glyma.03G201100,NA,cluster2
Glyma.03G202600,NA,cluster2
Glyma.03G216000,NA,cluster2
Glyma.04G040400,NA,cluster2
Glyma.04G042400,NA,cluster2
Glyma.04G113400,NA,cluster2
Glyma.04G113500,NA,cluster2
Glyma.04G131100,NA,cluster2
Glyma.05G042800,NA,cluster2
Glyma.05G065700,NA,cluster2
Glyma.05G107500,NA,cluster2
Glyma.05G124800,NA,cluster2
Glyma.05G124900,NA,cluster2
Glyma.05G125200,NA,cluster2
Glyma.05G126900,NA,cluster2
Glyma.05G147000,NA,cluster2
Glyma.05G234600,MYB,cluster2
Glyma.06G102300,NA,cluster2
Glyma.06G121000,NA,cluster2
Glyma.06G162400,NA,cluster2
Glyma.06G220700,NA,cluster2
Glyma.06G220800,NA,cluster2
Glyma.06G244800,NA,cluster2
Glyma.06G299000,NA,cluster2
Glyma.06G315100,NA,cluster2
Glyma.07G048800,NA,cluster2
Glyma.07G051200,NA,cluster2
Glyma.07G139700,NA,cluster2
Glyma.07G140000,NA,cluster2
Glyma.07G142600,NA,cluster2
Glyma.07G151900,NA,cluster2
Glyma.07G188800,NA,cluster2
Glyma.08G010400,NA,cluster2
Glyma.08G042100,MYB,cluster2
Glyma.08G078900,NA,cluster2
Glyma.08G091400,NA,cluster2
Glyma.08G091500,NA,cluster2
Glyma.08G118900,NA,cluster2
Glyma.08G140600,NA,cluster2
Glyma.08G170700,NA,cluster2
Glyma.08G174900,NA,cluster2
Glyma.08G235800,NA,cluster2
Glyma.08G244800,NA,cluster2
Glyma.08G307400,NA,cluster2
Glyma.08G316000,NA,cluster2
Glyma.08G338100,NA,cluster2
Glyma.08G338800,NA,cluster2
Glyma.08G364700,NA,cluster2
Glyma.09G049200,NA,cluster2
Glyma.09G094400,NA,cluster2
Glyma.09G110500,NA,cluster2
Glyma.09G128300,NA,cluster2
Glyma.09G183400,MYB,cluster2
Glyma.09G210600,NA,cluster2
Glyma.09G281900,NA,cluster2
Glyma.10G045400,C2H2,cluster2
Glyma.10G046000,NA,cluster2
Glyma.10G054700,MYB,cluster2
Glyma.10G063000,NA,cluster2
Glyma.10G180500,NA,cluster2
Glyma.10G184600,NA,cluster2
Glyma.10G192900,NA,cluster2
Glyma.10G226200,NA,cluster2
Glyma.10G295200,C2H2,cluster2
Glyma.11G046400,NA,cluster2
Glyma.11G062500,NA,cluster2
Glyma.11G062600,NA,cluster2
Glyma.11G062700,NA,cluster2
Glyma.11G070500,NA,cluster2
Glyma.11G101200,NA,cluster2
Glyma.11G121800,NA,cluster2
Glyma.12G007200,NA,cluster2
Glyma.12G007300,NA,cluster2
Glyma.12G049300,NA,cluster2
Glyma.12G054100,NA,cluster2
Glyma.12G087200,NA,cluster2
Glyma.12G141900,NA,cluster2
Glyma.12G161400,NA,cluster2
Glyma.12G188900,NA,cluster2
Glyma.12G197400,NA,cluster2
Glyma.12G197500,NA,cluster2
Glyma.13G066100,NA,cluster2
Glyma.13G109800,NA,cluster2
Glyma.13G152814,NA,cluster2
Glyma.13G193800,NA,cluster2
Glyma.13G203000,NA,cluster2
Glyma.13G231900,NA,cluster2
Glyma.13G265300,NA,cluster2
Glyma.13G312800,NA,cluster2
Glyma.13G349300,NA,cluster2
Glyma.14G056300,NA,cluster2
Glyma.14G175400,NA,cluster2
Glyma.14G212200,NA,cluster2
Glyma.15G071200,NA,cluster2
Glyma.15G128800,NA,cluster2
Glyma.15G131400,NA,cluster2
Glyma.15G134300,NA,cluster2
Glyma.15G145600,NA,cluster2
Glyma.15G159200,ERF,cluster2
Glyma.15G223900,NA,cluster2
Glyma.15G264200,NA,cluster2
Glyma.15G264300,NA,cluster2
Glyma.16G019900,NA,cluster2
Glyma.16G039600,NA,cluster2
Glyma.16G054400,WRKY,cluster2
Glyma.16G064200,NA,cluster2
Glyma.16G097200,NA,cluster2
Glyma.16G132500,NA,cluster2
Glyma.16G145600,NA,cluster2
Glyma.16G153400,NA,cluster2
Glyma.16G180300,NA,cluster2
Glyma.16G195600,NA,cluster2
Glyma.16G212400,NA,cluster2
Glyma.17G147500,NA,cluster2
Glyma.17G159600,NA,cluster2
Glyma.17G245100,NA,cluster2
Glyma.18G080400,NA,cluster2
Glyma.18G177000,NA,cluster2
Glyma.18G211100,NA,cluster2
Glyma.18G268200,NA,cluster2
Glyma.18G271300,NA,cluster2
Glyma.18G294300,NA,cluster2
Glyma.18G294800,NA,cluster2
Glyma.19G002400,NA,cluster2
Glyma.19G008600,NA,cluster2
Glyma.19G025200,NA,cluster2
Glyma.19G030500,NA,cluster2
Glyma.19G137800,HSF,cluster2
Glyma.19G151100,NA,cluster2
Glyma.19G169400,NA,cluster2
Glyma.19G174000,C2H2,cluster2
Glyma.19G187600,NA,cluster2
Glyma.19G188100,NA,cluster2
Glyma.19G263100,NA,cluster2
Glyma.20G004900,NA,cluster2
Glyma.20G061100,NA,cluster2
Glyma.20G171900,NA,cluster2
Glyma.08G054700,NA,cluster3
Glyma.19G170100,NA,cluster3
Glyma.09G102400,NA,cluster3
Glyma.01G002200,NA,cluster3
Glyma.01G004600,NA,cluster3
Glyma.01G005000,C3H,cluster3
Glyma.01G005500,NAC,cluster3
Glyma.01G008900,NA,cluster3
Glyma.01G009700,NA,cluster3
Glyma.01G010200,NA,cluster3
Glyma.01G010300,NA,cluster3
Glyma.01G015400,NA,cluster3
Glyma.01G019100,NA,cluster3
Glyma.01G019300,NA,cluster3
Glyma.01G019400,NA,cluster3
Glyma.01G019700,bHLH,cluster3
Glyma.01G020900,NA,cluster3
Glyma.01G022700,NA,cluster3
Glyma.01G023300,NA,cluster3
Glyma.01G025300,NA,cluster3
Glyma.01G026700,NA,cluster3
Glyma.01G028500,NA,cluster3
Glyma.01G033700,NA,cluster3
Glyma.01G033800,NA,cluster3
Glyma.01G033900,NA,cluster3
Glyma.01G034900,NA,cluster3
Glyma.01G038600,MYB_related,cluster3
Glyma.01G038700,NA,cluster3
Glyma.01G040000,NA,cluster3
Glyma.01G045500,TCP,cluster3
Glyma.01G049100,G2-like,cluster3
Glyma.01G054200,NA,cluster3
Glyma.01G054400,NA,cluster3
Glyma.01G057500,NA,cluster3
Glyma.01G058300,NA,cluster3
Glyma.01G062000,NA,cluster3
Glyma.01G063800,NA,cluster3
Glyma.01G074800,NA,cluster3
Glyma.01G076100,NA,cluster3
Glyma.01G078400,NA,cluster3
Glyma.01G084500,NA,cluster3
Glyma.01G098000,NA,cluster3
Glyma.01G102802,NA,cluster3
Glyma.01G104100,NA,cluster3
Glyma.01G106200,NA,cluster3
Glyma.01G106500,NA,cluster3
Glyma.01G109200,NA,cluster3
Glyma.01G112900,NA,cluster3
Glyma.01G115900,NA,cluster3
Glyma.01G119300,NA,cluster3
Glyma.01G121700,NA,cluster3
Glyma.01G127500,NA,cluster3
Glyma.01G138800,NA,cluster3
Glyma.01G139500,NA,cluster3
Glyma.01G144500,NA,cluster3
Glyma.01G146300,NA,cluster3
Glyma.01G147700,NA,cluster3
Glyma.01G149000,NA,cluster3
Glyma.01G154400,NA,cluster3
Glyma.01G154900,NA,cluster3
Glyma.01G158600,NA,cluster3
Glyma.01G164000,NA,cluster3
Glyma.01G165200,NA,cluster3
Glyma.01G165400,NA,cluster3
Glyma.01G168200,NA,cluster3
Glyma.01G169500,NA,cluster3
Glyma.01G171900,NA,cluster3
Glyma.01G173300,NA,cluster3
Glyma.01G173700,NA,cluster3
Glyma.01G180800,NA,cluster3
Glyma.01G190900,NA,cluster3
Glyma.01G191600,NA,cluster3
Glyma.01G194700,NA,cluster3
Glyma.01G196600,HD-ZIP,cluster3
Glyma.01G197500,NA,cluster3
Glyma.01G197800,NA,cluster3
Glyma.01G201000,NA,cluster3
Glyma.01G205400,NA,cluster3
Glyma.01G210800,NA,cluster3
Glyma.01G215400,NA,cluster3
Glyma.01G217300,NA,cluster3
Glyma.01G217400,HSF,cluster3
Glyma.01G219502,NA,cluster3
Glyma.01G220600,NA,cluster3
Glyma.01G221800,NA,cluster3
Glyma.01G226502,NA,cluster3
Glyma.01G227400,NA,cluster3
Glyma.01G229200,NA,cluster3
Glyma.01G229800,NA,cluster3
Glyma.01G231900,NA,cluster3
Glyma.01G238000,NA,cluster3
Glyma.01G245500,NA,cluster3
Glyma.02G000500,NA,cluster3
Glyma.02G000700,NA,cluster3
Glyma.02G001000,NA,cluster3
Glyma.02G001100,NA,cluster3
Glyma.02G001900,NA,cluster3
Glyma.02G002000,NA,cluster3
Glyma.02G002900,NA,cluster3
Glyma.02G004000,NA,cluster3
Glyma.02G004600,NA,cluster3
Glyma.02G006600,NA,cluster3
Glyma.02G011800,NA,cluster3
Glyma.02G013700,NA,cluster3
Glyma.02G014800,NA,cluster3
Glyma.02G016400,NA,cluster3
Glyma.02G019200,NA,cluster3
Glyma.02G019600,NA,cluster3
Glyma.02G021600,NA,cluster3
Glyma.02G022400,NA,cluster3
Glyma.02G026300,MYB_related,cluster3
Glyma.02G032200,NA,cluster3
Glyma.02G036500,NA,cluster3
Glyma.02G038100,NA,cluster3
Glyma.02G039400,NA,cluster3
Glyma.02G044500,NA,cluster3
Glyma.02G047000,NA,cluster3
Glyma.02G048800,NA,cluster3
Glyma.02G057400,NA,cluster3
Glyma.02G060102,NA,cluster3
Glyma.02G061100,NA,cluster3
Glyma.02G064800,NA,cluster3
Glyma.02G067100,NA,cluster3
Glyma.02G069400,NA,cluster3
Glyma.02G071500,GATA,cluster3
Glyma.02G072500,NA,cluster3
Glyma.02G080000,NA,cluster3
Glyma.02G081200,NA,cluster3
Glyma.02G081400,NA,cluster3
Glyma.02G087000,NA,cluster3
Glyma.02G087800,NA,cluster3
Glyma.02G097000,NA,cluster3
Glyma.02G097700,NA,cluster3
Glyma.02G100000,NA,cluster3
Glyma.02G103700,NA,cluster3
Glyma.02G105300,NA,cluster3
Glyma.02G106300,NA,cluster3
Glyma.02G111800,NA,cluster3
Glyma.02G116100,NA,cluster3
Glyma.02G116300,NA,cluster3
Glyma.02G121800,NA,cluster3
Glyma.02G125400,NA,cluster3
Glyma.02G126500,NA,cluster3
Glyma.02G131700,bZIP,cluster3
Glyma.02G133600,NA,cluster3
Glyma.02G133900,NA,cluster3
Glyma.02G134600,NA,cluster3
Glyma.02G135800,NA,cluster3
Glyma.02G136300,NA,cluster3
Glyma.02G137500,NA,cluster3
Glyma.02G141700,NA,cluster3
Glyma.02G142500,NA,cluster3
Glyma.02G143700,NA,cluster3
Glyma.02G146100,NA,cluster3
Glyma.02G149800,NA,cluster3
Glyma.02G152500,NA,cluster3
Glyma.02G157200,NA,cluster3
Glyma.02G160500,NA,cluster3
Glyma.02G162000,NA,cluster3
Glyma.02G168000,NA,cluster3
Glyma.02G171100,NA,cluster3
Glyma.02G179100,NA,cluster3
Glyma.02G182600,NA,cluster3
Glyma.02G184800,NA,cluster3
Glyma.02G185300,NA,cluster3
Glyma.02G198000,NA,cluster3
Glyma.02G198400,NA,cluster3
Glyma.02G203200,NA,cluster3
Glyma.02G203300,NA,cluster3
Glyma.02G209000,NA,cluster3
Glyma.02G212000,NA,cluster3
Glyma.02G214300,NA,cluster3
Glyma.02G215000,NA,cluster3
Glyma.02G217100,NA,cluster3
Glyma.02G219700,NA,cluster3
Glyma.02G222600,NA,cluster3
Glyma.02G229400,NA,cluster3
Glyma.02G230500,NA,cluster3
Glyma.02G244300,NA,cluster3
Glyma.02G244400,NA,cluster3
Glyma.02G244700,NA,cluster3
Glyma.02G246100,NA,cluster3
Glyma.02G249600,NA,cluster3
Glyma.02G250200,NA,cluster3
Glyma.02G253200,NA,cluster3
Glyma.02G257200,NA,cluster3
Glyma.02G258300,bHLH,cluster3
Glyma.02G260300,NA,cluster3
Glyma.02G267900,NA,cluster3
Glyma.02G269300,NA,cluster3
Glyma.02G271400,NA,cluster3
Glyma.02G272400,NA,cluster3
Glyma.02G273300,NA,cluster3
Glyma.02G273500,FAR1,cluster3
Glyma.02G274000,NA,cluster3
Glyma.02G277700,NA,cluster3
Glyma.02G282400,NA,cluster3
Glyma.02G282500,NA,cluster3
Glyma.02G286900,NA,cluster3
Glyma.02G289400,NA,cluster3
Glyma.02G290000,NA,cluster3
Glyma.02G290800,NA,cluster3
Glyma.02G293700,NA,cluster3
Glyma.02G299800,NA,cluster3
Glyma.02G302900,NA,cluster3
Glyma.02G303500,NA,cluster3
Glyma.02G304500,NA,cluster3
Glyma.02G305400,NA,cluster3
Glyma.02G309500,NA,cluster3
Glyma.03G001700,NA,cluster3
Glyma.03G002200,NA,cluster3
Glyma.03G007100,NA,cluster3
Glyma.03G009000,NA,cluster3
Glyma.03G013400,NA,cluster3
Glyma.03G017200,NA,cluster3
Glyma.03G017800,NA,cluster3
Glyma.03G029900,NA,cluster3
Glyma.03G031000,NA,cluster3
Glyma.03G034000,bHLH,cluster3
Glyma.03G037500,NA,cluster3
Glyma.03G040300,NA,cluster3
Glyma.03G040600,NA,cluster3
Glyma.03G043000,NA,cluster3
Glyma.03G045400,NA,cluster3
Glyma.03G050400,NA,cluster3
Glyma.03G056300,NA,cluster3
Glyma.03G060300,NA,cluster3
Glyma.03G063200,NA,cluster3
Glyma.03G071700,NA,cluster3
Glyma.03G073770,NA,cluster3
Glyma.03G076200,NA,cluster3
Glyma.03G081900,MYB,cluster3
Glyma.03G082100,NA,cluster3
Glyma.03G083100,NA,cluster3
Glyma.03G085900,NA,cluster3
Glyma.03G086200,NA,cluster3
Glyma.03G088900,NA,cluster3
Glyma.03G090000,NA,cluster3
Glyma.03G092500,NA,cluster3
Glyma.03G097300,NA,cluster3
Glyma.03G097600,NA,cluster3
Glyma.03G098300,NA,cluster3
Glyma.03G098900,NA,cluster3
Glyma.03G099500,NA,cluster3
Glyma.03G102700,NA,cluster3
Glyma.03G103400,NA,cluster3
Glyma.03G105700,bHLH,cluster3
Glyma.03G108200,NA,cluster3
Glyma.03G110100,NA,cluster3
Glyma.03G114100,NA,cluster3
Glyma.03G114600,NA,cluster3
Glyma.03G119500,NA,cluster3
Glyma.03G120300,NA,cluster3
Glyma.03G124300,NA,cluster3
Glyma.03G125300,NA,cluster3
Glyma.03G127300,NA,cluster3
Glyma.03G128300,NA,cluster3
Glyma.03G130300,NA,cluster3
Glyma.03G134100,NA,cluster3
Glyma.03G136500,NA,cluster3
Glyma.03G137000,NA,cluster3
Glyma.03G140700,NA,cluster3
Glyma.03G142500,NA,cluster3
Glyma.03G142800,NA,cluster3
Glyma.03G143100,SBP,cluster3
Glyma.03G146100,NA,cluster3
Glyma.03G151200,NA,cluster3
Glyma.03G154700,NA,cluster3
Glyma.03G156100,NA,cluster3
Glyma.03G158700,NA,cluster3
Glyma.03G159100,NA,cluster3
Glyma.03G164300,NA,cluster3
Glyma.03G167200,NA,cluster3
Glyma.03G168700,NA,cluster3
Glyma.03G169500,NA,cluster3
Glyma.03G170300,bHLH,cluster3
Glyma.03G175100,NA,cluster3
Glyma.03G177600,NA,cluster3
Glyma.03G178100,NA,cluster3
Glyma.03G181800,NA,cluster3
Glyma.03G183400,NA,cluster3
Glyma.03G184500,NA,cluster3
Glyma.03G185900,NA,cluster3
Glyma.03G186200,NA,cluster3
Glyma.03G189800,NA,cluster3
Glyma.03G193600,NA,cluster3
Glyma.03G196900,NA,cluster3
Glyma.03G197000,NA,cluster3
Glyma.03G202000,NA,cluster3
Glyma.03G213600,NA,cluster3
Glyma.03G214300,NA,cluster3
Glyma.03G216400,NA,cluster3
Glyma.03G219400,NA,cluster3
Glyma.03G222300,NA,cluster3
Glyma.03G222400,NA,cluster3
Glyma.03G225300,NA,cluster3
Glyma.03G225400,NA,cluster3
Glyma.03G226600,NA,cluster3
Glyma.03G230300,NA,cluster3
Glyma.03G232200,NA,cluster3
Glyma.03G248600,NA,cluster3
Glyma.03G255000,bZIP,cluster3
Glyma.03G258900,NA,cluster3
Glyma.03G259200,NA,cluster3
Glyma.03G259400,NA,cluster3
Glyma.03G262300,NA,cluster3
Glyma.03G262600,NA,cluster3
Glyma.03G262750,NA,cluster3
Glyma.03G263400,NA,cluster3
Glyma.04G001500,NA,cluster3
Glyma.04G001800,NA,cluster3
Glyma.04G001900,NA,cluster3
Glyma.04G002300,NA,cluster3
Glyma.04G002400,NA,cluster3
Glyma.04G003200,NA,cluster3
Glyma.04G003700,NA,cluster3
Glyma.04G004250,NA,cluster3
Glyma.04G005600,NA,cluster3
Glyma.04G006200,NA,cluster3
Glyma.04G008300,NA,cluster3
Glyma.04G009400,NA,cluster3
Glyma.04G014200,NA,cluster3
Glyma.04G014500,NA,cluster3
Glyma.04G015400,NA,cluster3
Glyma.04G015600,NA,cluster3
Glyma.04G015900,NA,cluster3
Glyma.04G017700,NA,cluster3
Glyma.04G018900,NA,cluster3
Glyma.04G019100,NA,cluster3
Glyma.04G020300,NA,cluster3
Glyma.04G021300,NA,cluster3
Glyma.04G023700,NA,cluster3
Glyma.04G023900,NA,cluster3
Glyma.04G025400,NA,cluster3
Glyma.04G030400,NA,cluster3
Glyma.04G033700,NA,cluster3
Glyma.04G034000,NA,cluster3
Glyma.04G035900,NA,cluster3
Glyma.04G039300,bZIP,cluster3
Glyma.04G042900,NA,cluster3
Glyma.04G045500,NA,cluster3
Glyma.04G050000,NA,cluster3
Glyma.04G050700,NA,cluster3
Glyma.04G051600,NA,cluster3
Glyma.04G054100,NA,cluster3
Glyma.04G055300,NA,cluster3
Glyma.04G055900,NA,cluster3
Glyma.04G059800,NA,cluster3
Glyma.04G060000,NA,cluster3
Glyma.04G066000,NA,cluster3
Glyma.04G072300,NA,cluster3
Glyma.04G075100,NA,cluster3
Glyma.04G076500,NA,cluster3
Glyma.04G088000,NA,cluster3
Glyma.04G088200,NA,cluster3
Glyma.04G089900,NA,cluster3
Glyma.04G092600,NA,cluster3
Glyma.04G094232,NA,cluster3
Glyma.04G095300,MYB_related,cluster3
Glyma.04G103000,NA,cluster3
Glyma.04G103100,NA,cluster3
Glyma.04G104600,NA,cluster3
Glyma.04G110400,NA,cluster3
Glyma.04G112800,NA,cluster3
Glyma.04G117800,NA,cluster3
Glyma.04G124500,NA,cluster3
Glyma.04G133400,NA,cluster3
Glyma.04G135400,Trihelix,cluster3
Glyma.04G137000,NA,cluster3
Glyma.04G141400,NA,cluster3
Glyma.04G151200,NA,cluster3
Glyma.04G154500,NA,cluster3
Glyma.04G156200,NA,cluster3
Glyma.04G157000,NA,cluster3
Glyma.04G158100,NA,cluster3
Glyma.04G158800,Dof,cluster3
Glyma.04G167900,NA,cluster3
Glyma.04G169900,ZF-HD,cluster3
Glyma.04G171300,NA,cluster3
Glyma.04G173100,NA,cluster3
Glyma.04G176900,bHLH,cluster3
Glyma.04G177600,NA,cluster3
Glyma.04G181500,NA,cluster3
Glyma.04G181900,NA,cluster3
Glyma.04G185800,NA,cluster3
Glyma.04G188700,NA,cluster3
Glyma.04G190300,NA,cluster3
Glyma.04G191700,NA,cluster3
Glyma.04G191900,C2H2,cluster3
Glyma.04G192200,NA,cluster3
Glyma.04G200900,NA,cluster3
Glyma.04G202500,NA,cluster3
Glyma.04G207200,NA,cluster3
Glyma.04G209600,NA,cluster3
Glyma.04G209700,NA,cluster3
Glyma.04G212000,NAC,cluster3
Glyma.04G215400,NA,cluster3
Glyma.04G215800,NA,cluster3
Glyma.04G217600,NA,cluster3
Glyma.04G218900,NA,cluster3
Glyma.04G219200,NA,cluster3
Glyma.04G222100,NA,cluster3
Glyma.04G222300,NA,cluster3
Glyma.04G223100,NA,cluster3
Glyma.04G223800,NA,cluster3
Glyma.04G236400,NA,cluster3
Glyma.04G237500,NA,cluster3
Glyma.04G240100,NA,cluster3
Glyma.04G241000,NA,cluster3
Glyma.04G242300,NA,cluster3
Glyma.04G242700,NA,cluster3
Glyma.04G249900,NA,cluster3
Glyma.04G253300,NA,cluster3
Glyma.04G254800,bZIP,cluster3
